seed,variant_or_baseline,rmse_holdout,m_psi,m_dauroc
2000,V-FULL,0.111819155629592,0.9082706766917292,0.8
2000,V-A0,0.3730987394915644,,
2000,V-SOFT,0.5095541165726677,0.10676691729323308,0.75
2000,V-ORAC,0.0,0.9969924812030074,0.88
2000,B-POOL,0.3826843149498373,,
2000,B-ENVNN,0.6936508881482645,,
2000,B-MIXED,0.3470365950790961,,
2000,B-IRML,0.3795422401543218,,
2001,V-FULL,0.1606973288730064,0.7398496240601502,0.84
2001,V-A0,0.345797779957988,,
2001,V-SOFT,0.4241895350922716,-0.03909774436090225,0.84
2001,V-ORAC,0.0,0.993984962406015,0.92
2001,B-POOL,0.3693185403374868,,
2001,B-ENVNN,0.921434635703479,,
2001,B-MIXED,0.316840289538156,,
2001,B-IRML,0.3693603577617718,,
2002,V-FULL,0.1810892838830903,0.7774436090225564,0.93
2002,V-A0,0.3392115755078668,,
2002,V-SOFT,0.4185773611208129,0.6360902255639098,0.9500000000000001
2002,V-ORAC,0.0,1.0,0.97
2002,B-POOL,0.3479002150256248,,
2002,B-ENVNN,0.9312217050836284,,
2002,B-MIXED,0.3016795884381233,,
2002,B-IRML,0.3491187726405251,,
2003,V-FULL,0.2061015491846616,0.8872180451127819,0.98
2003,V-A0,0.3677094652781149,,
2003,V-SOFT,0.3695934849321159,0.8075187969924811,0.95
2003,V-ORAC,0.0,0.9984962406015038,0.95
2003,B-POOL,0.3948117102179803,,
2003,B-ENVNN,1.0708763999823028,,
2003,B-MIXED,0.3064710216871171,,
2003,B-IRML,0.3951036420242754,,
2004,V-FULL,0.1242850489326017,0.631578947368421,0.99
2004,V-A0,0.3618269294293641,,
2004,V-SOFT,0.3813749785087357,-0.10225563909774435,0.5299999999999999
2004,V-ORAC,0.0,0.9954887218045112,0.98
2004,B-POOL,0.3619179128063903,,
2004,B-ENVNN,0.7947311657405493,,
2004,B-MIXED,0.3427078782548905,,
2004,B-IRML,0.3590563996640377,,
2005,V-FULL,0.1473067270749953,0.7037593984962407,0.78
2005,V-A0,0.3448363507690316,,
2005,V-SOFT,0.3758387675261817,0.5203007518796992,0.66
2005,V-ORAC,0.0,0.9924812030075189,0.8300000000000001
2005,B-POOL,0.3500375178509331,,
2005,B-ENVNN,0.9515730697299278,,
2005,B-MIXED,0.3301856905898802,,
2005,B-IRML,0.3489211908105286,,
2006,V-FULL,0.1456715863437592,0.6270676691729322,0.8300000000000001
2006,V-A0,0.3918284022024509,,
2006,V-SOFT,0.463349625454527,0.4015037593984962,0.73
2006,V-ORAC,0.0,0.993984962406015,0.8600000000000001
2006,B-POOL,0.4118175734297285,,
2006,B-ENVNN,1.1247770905757095,,
2006,B-MIXED,0.3685039255700511,,
2006,B-IRML,0.4099140573736766,,
2007,V-FULL,0.0969325352671659,0.7578947368421052,0.93
2007,V-A0,0.3079715849764506,,
